Model,AUC_ROC,Accuracy,Precision,Recall,F1_Score
Random Forest,0.9231,0.9459,0.5829,0.6577,0.6181
Gradient Boosting,0.8421,0.7889,0.2037,0.7459,0.32
XGBoost,0.828,0.8242,0.2189,0.6389,0.3261
Logistic Regression,0.7988,0.7841,0.1867,0.6684,0.2919
